,full_name,team_name,season
454,Allan Johnston,Sunderland,1999
455,Allan Johnston,Scotland,1999
456,Andy Marriott,Sunderland,1999
457,Andy Marriott,Wales,1999
458,Darren Holloway,Sunderland,1999
459,Darren Holloway,England,1999
460,Carsten Fredgaard,Sunderland,1999
461,Carsten Fredgaard,Denmark,1999
462,Paul Thirlwell,Sunderland,1999
463,Paul Thirlwell,England,1999
464,Stefan Schwarz,Sunderland,1999
465,Stefan Schwarz,Sweden,1999
466,Neil Wainwright,Sunderland,1999
467,Neil Wainwright,England,1999
468,Chris Lumsdon,Sunderland,1999
469,Chris Lumsdon,England,1999
470,Sam Aiston,Sunderland,1999
471,Sam Aiston,England,1999
472,Michael Proctor,Sunderland,1999
473,Michael Proctor,England,1999
474,Thomas Butler,Sunderland,1999
475,Thomas Butler,Ireland,1999
476,John Oster,Sunderland,1999
477,John Oster,Wales,1999
478,Brendan McGill,Sunderland,1999
479,Brendan McGill,Ireland,1999
480,Milton Núñez,Sunderland,1999
481,Milton Núñez,Honduras,1999
482,George McCartney,Sunderland,1999
483,George McCartney,Northern Ireland,1999
484,David Duke,Sunderland,1999
485,David Duke,Scotland,1999
486,Gerry Taggart,Leicester,1999
487,Gerry Taggart,Northern Ireland,1999
488,Robbie Savage,Leicester,1999
489,Robbie Savage,Wales,1999
490,Pegguy Arphexad,Leicester,1999
491,Pegguy Arphexad,France,1999
492,Tim Flowers,Leicester,1999
493,Tim Flowers,England,1999
494,Phil Gilchrist,Leicester,1999
495,Phil Gilchrist,England,1999
496,Matt Elliott,Leicester,1999
497,Matt Elliott,Scotland,1999
498,Darren Eadie,Leicester,1999
499,Darren Eadie,England,1999
500,Andy Impey,Leicester,1999
501,Andy Impey,England,1999
502,Ian Marshall,Leicester,1999
503,Ian Marshall,England,1999
504,Frank Sinclair,Leicester,1999
505,Frank Sinclair,Jamaica,1999
506,Steve Walsh,Leicester,1999
507,Steve Walsh,England,1999
508,Arnar Gunnlaugsson,Leicester,1999
509,Arnar Gunnlaugsson,Iceland,1999
510,Graham Fenton,Leicester,1999
511,Graham Fenton,England,1999
512,Lawrie Dudfield,Leicester,1999
513,Lawrie Dudfield,England,1999
514,Tony Cottee,Leicester,1999
515,Tony Cottee,England,1999
516,Stan Collymore,Leicester,1999
517,Stan Collymore,England,1999
518,Theodoros Zagorakis,Leicester,1999
519,Theodoros Zagorakis,Greece,1999
520,Stefan Oakes,Leicester,1999
521,Stefan Oakes,England,1999
522,Neil Lennon,Leicester,1999
523,Neil Lennon,Northern Ireland,1999
524,Stuart Campbell,Leicester,1999
525,Stuart Campbell,Scotland,1999
526,Steve Guppy,Leicester,1999
527,Steve Guppy,England,1999
528,Muzzy Izzet,Leicester,1999
529,Muzzy Izzet,Turkey,1999
530,Emile Heskey,Leicester,1999
531,Emile Heskey,England,1999
532,Stuart Wilson,Leicester,1999
533,Stuart Wilson,England,1999
534,Jordan Stewart,Leicester,1999
535,Jordan Stewart,England,1999
536,Danny Thomas,Leicester,1999
537,Danny Thomas,England,1999
538,Tommy Goodwin,Leicester,1999
539,Tommy Goodwin,England,1999
540,Rob Ullathorne,Leicester,1999
541,Rob Ullathorne,England,1999
542,Scott Taylor,Leicester,1999
543,Scott Taylor,England,1999
544,Alan Fettis,Leicester,1999
545,Alan Fettis,Northern Ireland,1999
546,Michael Price,Leicester,1999
547,Michael Price,England,1999
548,Tim McCann,Leicester,1999
549,Tim McCann,Northern Ireland,1999
550,Guy Branston,Leicester,1999
551,Guy Branston,England,1999
552,Fernando Pasquinelli,Leicester,1999
553,Fernando Pasquinelli,Argentina,1999
554,Matt Piper,Leicester,1999
555,Matt Piper,England,1999
556,Matthew Nurse,Leicester,1999
557,Matthew Nurse,England,1999
558,Alex Mortimer,Leicester,1999
559,Alex Mortimer,England,1999
560,Carl Bacon,Leicester,1999
561,Carl Bacon,England,1999
562,John Hodges,Leicester,1999
563,John Hodges,England,1999
564,Shaka Hislop,West Ham,1999
565,Shaka Hislop,Trinidad and Tobago,1999
566,Steve Lomas,West Ham,1999
567,Steve Lomas,Northern Ireland,1999
568,Steve Potts,West Ham,1999
569,Steve Potts,England,1999
570,Rio Ferdinand,West Ham,1999
571,Rio Ferdinand,England,1999
572,Neil Ruddock,West Ham,1999
573,Neil Ruddock,England,1999
574,Trevor Sinclair,West Ham,1999
575,Trevor Sinclair,England,1999
576,Frank Lampard,West Ham,1999
577,Frank Lampard,England,1999
578,Marc-Vivien Foé,West Ham,1999
579,Marc-Vivien Foé,Cameroon,1999
580,John Moncur,West Ham,1999
581,John Moncur,England,1999
582,Paulo Wanchope,West Ham,1999
583,Paulo Wanchope,Costa Rica,1999
584,Paolo Di Canio,West Ham,1999
585,Paolo Di Canio,Italy,1999
586,Joe Cole,West Ham,1999
587,Joe Cole,England,1999
588,Javier Margas,West Ham,1999
589,Javier Margas,Chile,1999
590,Paul Kitson,West Ham,1999
591,Paul Kitson,England,1999
592,Ian Feuer,West Ham,1999
593,Ian Feuer,United States,1999
594,Craig Forrest,West Ham,1999
595,Craig Forrest,Canada,1999
596,Shaun Byrne,West Ham,1999
597,Shaun Byrne,Ireland,1999
598,Stephen Bywater,West Ham,1999
599,Stephen Bywater,England,1999
600,Michael Carrick,West Ham,1999
601,Michael Carrick,England,1999
602,Gary Charles,West Ham,1999
603,Gary Charles,England,1999
604,Sasa Ilic,West Ham,1999
605,Sasa Ilic,Serbia,1999
606,Rob Jones,West Ham,1999
607,Rob Jones,England,1999
608,Frédéric Kanouté,West Ham,1999
609,Frédéric Kanouté,Mali,1999
610,Stan Lazaridis,West Ham,1999
611,Stan Lazaridis,Australia,1999
612,Scott Minto,West Ham,1999
613,Scott Minto,England,1999
614,Adam Newton,West Ham,1999
615,Adam Newton,St. Kitts & Nevis,1999
616,Ian Pearce,West Ham,1999
617,Ian Pearce,England,1999
618,Stuart Pearce,West Ham,1999
619,Stuart Pearce,England,1999
620,Igor Stimac,West Ham,1999
621,Igor Stimac,Croatia,1999
622,Ian Wright,West Ham,1999
623,Ian Wright,England,1999
